song names
Parade - Jacob Banks
I'm the King - Six Def
Cold Blood - Dave Not Dave
Fat Old Sun - 2011 Remastered Version - Pink Floyd
NO MERCY - Vargas
Between the Sheets - The Isley Brothers
Self Control - Frank Ocean
Dreams - 2004 Remaster - Fleetwood Mac
Redbone - Childish Gambino
Choosey Lover - The Isley Brothers
